path,value
AdditionalAttributes[30].Description,URL that points to this granule's thumbnail image
AdditionalAttributes[30].DataType,STRING
AdditionalAttributes[31].Name,ASF_PLATFORM
AdditionalAttributes[31].Description,Internal ASF platform name
AdditionalAttributes[31].DataType,STRING
AdditionalAttributes[32].Name,INSAR_STACK_ID
AdditionalAttributes[32].Description,An ASF-assigned unique number used internally to unify SAR images over the same location. Used for data that might be used for interferometry.
AdditionalAttributes[32].DataType,INT
AdditionalAttributes[33].Name,LOOK_DIRECTION
AdditionalAttributes[33].Description,SAR imagery is taken with the sensor pointing either left or right of the satellite. Most data is right-looking.
AdditionalAttributes[33].DataType,STRING
AdditionalAttributes[34].Name,PATH_NUMBER
AdditionalAttributes[34].Description,The path describes a path the satellite will follow over the earth similar to longitude; each path has an assigned number. Combined with a frame number it identifies a specific piece of ground.
AdditionalAttributes[34].DataType,INT
AdditionalAttributes[35].Name,NEAR_END_LAT
AdditionalAttributes[35].Description,"Latitude of the granule where imaging ended nearest to the satellite. For an ascending satellite, it locates the upper left corner of a north-oriented image."
AdditionalAttributes[35].DataType,FLOAT
AdditionalAttributes[36].Name,FARADAY_ROTATION
AdditionalAttributes[36].Description,An effect of the ionosphere that rotates polarizations from HH or VV or HV or VH. Significant for L or P band. Rotation over 5 degrees reduces usefulness for applications such as forest biomass. Effect is reduced at solar minimum.
AdditionalAttributes[36].DataType,STRING
AdditionalAttributes[37].Name,FAR_END_LON
AdditionalAttributes[37].Description,"Longitude of the granule where imaging ended farthest from the satellite. For an ascending satellite, it locates the upper right corner of a north-oriented image."
AdditionalAttributes[37].DataType,FLOAT
AdditionalAttributes[38].Name,BYTES
AdditionalAttributes[38].Description,Product size in bytes.
AdditionalAttributes[38].DataType,FLOAT
AdditionalAttributes[39].Name,CENTER_LAT
AdditionalAttributes[39].Description,Latitude of the center of the scene or frame.
AdditionalAttributes[39].DataType,FLOAT
AdditionalAttributes[40].Name,ARCHIVE_DATATAKE_ID
AdditionalAttributes[40].Description,The ARCHIVE_DATATAKE_ID for this collection
AdditionalAttributes[40].DataType,STRING
AdditionalAttributes[41].Name,DEM_REGION
AdditionalAttributes[41].Description,The DEM_REGION for this collection
AdditionalAttributes[41].DataType,STRING
SpatialExtent.HorizontalSpatialDomain.Geometry.CoordinateSystem,CARTESIAN
SpatialExtent.HorizontalSpatialDomain.Geometry.BoundingRectangles[0].WestBoundingCoordinate,-180
SpatialExtent.HorizontalSpatialDomain.Geometry.BoundingRectangles[0].NorthBoundingCoordinate,90
SpatialExtent.HorizontalSpatialDomain.Geometry.BoundingRectangles[0].EastBoundingCoordinate,180
SpatialExtent.HorizontalSpatialDomain.Geometry.BoundingRectangles[0].SouthBoundingCoordinate,-90
SpatialExtent.GranuleSpatialRepresentation,GEODETIC
CollectionProgress,COMPLETE
StandardProduct,false
ScienceKeywords[0].Category,EARTH SCIENCE
ScienceKeywords[0].Topic,AGRICULTURE
ScienceKeywords[0].Term,FOREST SCIENCE
ScienceKeywords[0].VariableLevel1,REFORESTATION
ScienceKeywords[1].Category,EARTH SCIENCE
ScienceKeywords[1].Topic,BIOSPHERE
ScienceKeywords[1].Term,ECOSYSTEMS
ScienceKeywords[1].VariableLevel1,TERRESTRIAL ECOSYSTEMS
ScienceKeywords[2].Category,EARTH SCIENCE
ScienceKeywords[2].Topic,CRYOSPHERE
ScienceKeywords[2].Term,FROZEN GROUND
ScienceKeywords[2].VariableLevel1,PERMAFROST
